"","past_pat_year_visit","Tot_Abund","Obl_Abund","Obl_Fac_Abund","Tot_Rich","Obl_Rich","Obl_Fac_Rich","past_pat_year","observer","start_time","clouds","wind","precipitation","cattle_interference","julian_date","year","pasture_id","patch_id","visit","area_surveyed","transect_length"
"1","235_C_2014_1",27,14,24,8,3,6,"235_C_2014","CD",6.85,"Clear","1-3","None",FALSE,141,2014,"235","C","1",8,800
"2","235_C_2014_2",19,9,18,6,3,5,"235_C_2014","SR",8.21666666666667,"Clear","8-12","None",FALSE,152,2014,"235","C","2",8,800
"3","235_C_2014_3",12,5,10,6,2,5,"235_C_2014","CD",8.11666666666667,"P. Cloudy","13-16","None",FALSE,168,2014,"235","C","3",8,800
"4","235_C_2014_4",20,15,19,7,4,7,"235_C_2014","ORG",7.13333333333333,"Clear","4-7","None",FALSE,184,2014,"235","C","4",8,800
"5","235_C_2014_5",26,17,24,7,4,5,"235_C_2014","CD",6.95,"Clear","1-3","None",FALSE,200,2014,"235","C","5",8,800
"6","235_C_2015_1",25,10,18,12,6,9,"235_C_2015","BSV",7.63333333333333,"Clear","4-7","None",FALSE,141,2015,"235","C","1",8,800
"7","235_C_2015_2",29,20,28,8,5,7,"235_C_2015","BSV",8.53333333333333,"P. Cloudy","4-7","None",FALSE,161,2015,"235","C","2",8,800
"8","235_C_2015_3",18,10,17,7,5,7,"235_C_2015","BSV",7.46666666666667,"P. Cloudy","1-3","None",FALSE,177,2015,"235","C","3",8,800
"9","235_C_2015_4",132,129,131,6,5,6,"235_C_2015","BSV",7.48333333333333,"Clear","4-7","None",FALSE,193,2015,"235","C","4",8,800
"10","235_C_2015_5",19,18,19,4,3,4,"235_C_2015","BSV",7.58333333333333,"Clear","1-3","None",FALSE,211,2015,"235","C","5",8,800
"11","235_C_2016_1",38,26,35,10,4,8,"235_C_2016","SBN",6.38333333333333,"Clear","0-1","None",FALSE,150,2016,"235","C","1",8,800
"12","235_C_2016_2",25,22,22,6,5,5,"235_C_2016","JJC",7.71666666666667,"M. Cloudy","1-3","None",FALSE,166,2016,"235","C","2",8,800
"13","235_C_2016_3",31,26,31,7,4,7,"235_C_2016","SR",6.21666666666667,"Clear","0-1","None",FALSE,179,2016,"235","C","3",8,800
"14","235_C_2016_4",47,35,45,7,4,7,"235_C_2016","ACW",7.96666666666667,"P. Cloudy","4-7","None",FALSE,195,2016,"235","C","4",8,800
"15","235_C_2016_5",20,18,18,5,4,4,"235_C_2016","SBN",7.63333333333333,"P. Cloudy","1-3","None",FALSE,211,2016,"235","C","5",8,800
"16","235_C_2017_1",50,35,43,10,6,9,"235_C_2017","JJC",7.06666666666667,"Clear","0-1","None",FALSE,150,2017,"235","C","1",8,800
"17","235_C_2017_2",30,23,29,8,6,8,"235_C_2017","ALL",7.43333333333333,"P. Cloudy","8-12","None",FALSE,164,2017,"235","C","2",8,800
"18","235_C_2017_3",18,13,18,7,4,7,"235_C_2017","JJC",7.96666666666667,"Clear","8-12","None",FALSE,176,2017,"235","C","3",8,800
"19","235_C_2017_4",16,13,13,4,4,4,"235_C_2017","ALL",8.35,"Clear","0-1","None",FALSE,189,2017,"235","C","4",8,800
"20","235_C_2017_5",15,11,13,6,4,6,"235_C_2017","JJC",7.8,"Clear","1-3","None",FALSE,205,2017,"235","C","5",8,800
"21","235_C_2018_1",18,14,15,6,4,5,"235_C_2018","SR",7.78333333333333,"Clear","8-12","None",FALSE,147,2018,"235","C","1",8,800
"22","235_C_2018_2",40,30,35,6,5,6,"235_C_2018","JJC",7.51666666666667,"P. Cloudy","4-7","None",FALSE,161,2018,"235","C","2",8,800
"23","235_C_2018_3",26,20,26,5,3,5,"235_C_2018","SR",8.8,"Overcast","1-3","None",FALSE,174,2018,"235","C","3",8,800
"24","235_C_2018_4",51,35,50,10,5,9,"235_C_2018","TMS",6.91666666666667,"Clear","1-3","None",FALSE,187,2018,"235","C","4",8,800
"25","235_C_2018_5",42,36,38,8,6,8,"235_C_2018","BJE",7.81666666666667,"P. Cloudy","8-12","None",FALSE,199,2018,"235","C","5",8,800
"26","235_C_2021_1",32,18,32,6,4,6,"235_C_2021","JJC",8.01666666666667,"Overcast","0-1","None",FALSE,151,2021,"235","C","1",8,800
"27","235_C_2021_2",31,17,28,7,3,6,"235_C_2021","JJC",6.85,"P. Cloudy","0-1","None",FALSE,165,2021,"235","C","2",8,800
"28","235_C_2021_3",44,26,40,10,4,7,"235_C_2021","JNA",7.28333333333333,"M. Cloudy","0-1","None",FALSE,179,2021,"235","C","3",8,800
"29","235_C_2021_4",48,32,48,8,4,8,"235_C_2021","JEM",7.46666666666667,"Overcast","4-7","None",FALSE,192,2021,"235","C","4",8,800
"30","235_C_2021_5",59,37,52,13,5,10,"235_C_2021","JJC",7.03333333333333,"Clear","0-1","None",FALSE,199,2021,"235","C","5",8,800
"31","235_C_2022_1",13,4,12,7,2,6,"235_C_2022","JJC",7.26666666666667,"P. Cloudy","4-7","None",FALSE,156,2022,"235","C","1",8,800
"32","235_C_2022_2",13,8,12,9,5,8,"235_C_2022","HKG",8.3,"Clear","1-3","None",TRUE,168,2022,"235","C","2",8,800
"33","235_C_2022_3",16,8,12,7,3,5,"235_C_2022","WPT",7.66666666666667,"Clear","4-7","None",FALSE,179,2022,"235","C","3",8,800
"34","235_C_2022_4",12,8,11,6,3,5,"235_C_2022","NGP",8.38333333333333,"Clear","4-7","None",FALSE,191,2022,"235","C","4",8,800
"35","235_C_2022_5",12,10,11,4,3,4,"235_C_2022","JJC",8.21666666666667,"P. Cloudy","4-7","None",TRUE,196,2022,"235","C","5",8,800
"36","235_C_2023_1",28,16,23,11,4,8,"235_C_2023","JJC",7.66666666666667,"P. Cloudy","1-3","None",FALSE,154,2023,"235","C","1",8,800
"37","235_C_2023_2",54,29,51,9,4,7,"235_C_2023","WPT",8.38333333333333,"Overcast","4-7","None",FALSE,168,2023,"235","C","2",8,800
"38","235_C_2023_3",38,14,37,10,5,9,"235_C_2023","JJC",8.85,"P. Cloudy","0-1","None",FALSE,178,2023,"235","C","3",8,800
"39","235_C_2023_4",43,27,39,10,4,7,"235_C_2023","JJC",NA,"Overcast","4-7","None",TRUE,189,2023,"235","C","4",8,800
"40","235_C_2023_5",72,39,65,12,5,8,"235_C_2023","JLS",7.45,"Clear","1-3","None",TRUE,195,2023,"235","C","5",8,800
"41","235_N_2014_1",14,10,13,4,3,4,"235_N_2014","CD",7.11666666666667,"Clear","1-3","None",FALSE,141,2014,"235","N","1",8,800
"42","235_N_2014_2",7,4,7,3,1,3,"235_N_2014","SR",8.68333333333333,"Clear","8-12","None",FALSE,152,2014,"235","N","2",8,800
"43","235_N_2014_3",12,8,11,6,4,6,"235_N_2014","CD",8.76666666666667,"P. Cloudy","8-12","None",FALSE,168,2014,"235","N","3",8,800
"44","235_N_2014_4",8,7,8,3,2,3,"235_N_2014","ORG",7.56666666666667,"Clear","1-3","None",FALSE,184,2014,"235","N","4",8,800
"45","235_N_2014_5",16,11,16,6,4,6,"235_N_2014","CD",7.2,"Clear","1-3","None",FALSE,200,2014,"235","N","5",8,800
"46","235_N_2015_1",20,7,16,7,3,5,"235_N_2015","BSV",8.13333333333333,"Clear","4-7","None",FALSE,139,2015,"235","N","1",8,800
"47","235_N_2015_2",10,5,9,6,3,5,"235_N_2015","BSV",8.81666666666667,"P. Cloudy","4-7","None",FALSE,161,2015,"235","N","2",8,800
"48","235_N_2015_3",10,6,9,6,3,5,"235_N_2015","BSV",7.75,"P. Cloudy","4-7","None",FALSE,177,2015,"235","N","3",8,800
"49","235_N_2015_4",32,24,32,6,4,6,"235_N_2015","BSV",7.83333333333333,"Clear","4-7","None",FALSE,193,2015,"235","N","4",8,800
"50","235_N_2015_5",25,19,22,7,4,6,"235_N_2015","BSV",7.88333333333333,"Clear","1-3","None",FALSE,211,2015,"235","N","5",8,800
"51","235_N_2016_1",38,23,33,9,3,8,"235_N_2016","SBN",8.98333333333333,"P. Cloudy","0-1","None",FALSE,150,2016,"235","N","1",8,800
"52","235_N_2016_2",40,23,39,7,4,6,"235_N_2016","JJC",8.13333333333333,"M. Cloudy","0-1","None",FALSE,166,2016,"235","N","2",8,800
"53","235_N_2016_3",22,16,21,7,3,6,"235_N_2016","SR",6.53333333333333,"Clear","0-1","None",FALSE,179,2016,"235","N","3",8,800
"54","235_N_2016_4",45,34,40,7,4,6,"235_N_2016","ACW",8.36666666666667,"P. Cloudy","4-7","None",FALSE,195,2016,"235","N","4",8,800
"55","235_N_2016_5",15,13,13,4,3,3,"235_N_2016","SBN",8.05,"M. Cloudy","1-3","None",FALSE,211,2016,"235","N","5",8,800
"56","235_N_2017_1",9,8,8,4,4,4,"235_N_2017","JJC",8.35,"Clear","1-3","None",FALSE,150,2017,"235","N","1",8,800
"57","235_N_2017_2",13,10,13,6,4,6,"235_N_2017","ALL",7.75,"P. Cloudy","8-12","None",FALSE,164,2017,"235","N","2",8,800
"58","235_N_2017_3",5,5,5,2,2,2,"235_N_2017","JJC",8.28333333333333,"Clear","4-7","None",FALSE,176,2017,"235","N","3",8,800
"59","235_N_2017_4",8,6,7,3,2,3,"235_N_2017","ALL",8.66666666666667,"Clear","0-1","None",FALSE,189,2017,"235","N","4",8,800
"60","235_N_2017_5",13,10,12,3,2,3,"235_N_2017","JJC",8.08333333333333,"Clear","1-3","None",FALSE,205,2017,"235","N","5",8,800
"61","235_N_2018_1",13,12,12,5,4,4,"235_N_2018","SR",8.6,"Clear","8-12","None",FALSE,147,2018,"235","N","1",8,800
"62","235_N_2018_2",33,25,29,6,4,6,"235_N_2018","JJC",7.91666666666667,"M. Cloudy","0-1","None",FALSE,161,2018,"235","N","2",8,800
"63","235_N_2018_3",17,14,17,4,3,4,"235_N_2018","SR",9.05,"Overcast","1-3","None",FALSE,174,2018,"235","N","3",8,800
"64","235_N_2018_4",30,27,29,6,4,5,"235_N_2018","TMS",7.58333333333333,"Clear","1-3","None",FALSE,187,2018,"235","N","4",8,800
