,year,Species,KLN,PYN,LTR,PYS,PYW,235,RCH2014,RIS,RIN,GIL,BSH,KLT,RNR,Obl_Fac
1,2023,BOBO,0.09,0.3,0.06,0.44,0.4,0.2,0.25,0,0.17,0.13,0.33,0.42,0,Obligate
2,2023,DICK,0.28,0.2,0.12,0.11,0.53,0.8,0.38,0.39,0.17,1.16,0.5,1,0.27,Obligate
3,2023,EAME,0.37,0.4,0.12,0.22,0.4,0.2,0.25,0.08,0.17,0,0,0.08,0,Obligate
4,2023,GRSP,0.37,1,0.41,0.67,0.53,0.44,0.12,0.31,0.17,0.13,0,0,0.27,Obligate
5,2023,HESP,0,0,0,0,0,0.08,0,0.24,0.17,0,0,0,0.4,Obligate
6,2023,SEWR,0,0,0,0,0,0.12,0,0,0.17,0,0,0,0,Obligate
8,2023,VESP,0,0,0.06,0,0,0,0,0.08,0,0,0.17,0,0,Obligate
9,2023,LASP,0,0,0.18,0,0,0,0,0,0,0,0,0,0,Obligate
10,2023,BHCO,0.65,0.2,0.24,0.11,0.27,0.44,0.5,0.39,0.33,0.77,0.5,0.25,0.27,Facultative
11,2023,RWBL,0.65,0.8,0.29,0.33,0,0.36,0.12,0,0.83,1.81,0.17,0.75,0.67,Facultative
12,2023,COYE,0,0.1,0.06,0.11,0,0.04,0.12,0.24,0.5,0.26,0.5,0.25,0.4,Facultative
13,2023,FISP,0,0.1,0.47,0.22,0.67,0.2,1,0.63,0.17,1.29,0.5,0,0.53,Facultative
14,2023,BARS,0,0,0,0.11,0,0.04,0,0,0,0,0,0,0,Facultative
15,2023,EAKI,0,0.1,0.12,0.11,0.27,0.08,0.38,0,0.33,0,0.5,0.08,0.27,Facultative
16,2023,MODO,0,0,0.06,0,0.13,0.08,0,0,0.17,0.26,0,0,0,Facultative
17,2023,NOBO,0,0,0,0,0,0.04,0,0.08,0.17,0.39,0.17,0,0,Facultative
18,2023,LOSH,0.09,0.1,0,0,0,0,0,0,0,0,0,0,0,Facultative
19,2023,EABL,0,0.2,0.35,0,0,0,0,0.08,0,0,0,0,0,Facultative
20,2023,KILL,0,0,0.06,0,0,0.08,0,0,0,0,0,0,0,Facultative
24,2023,BEVI,0,0.1,0,0,0,0,0,0.16,0.17,0,0,0,0.13,Other Shrubland
25,2023,WIFL,0,0,0,0,0,0.04,0,0,0,0.13,0,0.08,0,Other Shrubland
26,2023,GRCA,0,0.2,0.12,0.11,0,0.04,0.25,0.39,0.17,0.39,0.17,0.08,0.67,Other Shrubland
27,2023,BRTH,0.09,0.3,0.18,0,0.13,0.12,0,0.16,0,0.13,0,0,0,Other Shrubland
28,2023,OROR,0,0.1,0.06,0,0.13,0.12,0.25,0,0,0.13,0,0.17,0.13,Other Shrubland
29,2023,AMRO,0,0.1,0.06,0,0.13,0.12,0.25,0,0,0.13,0,0.17,0.13,Other Shrubland
30,2023,NOMO,0,0.3,0.18,0.11,0.13,0.04,0,0,0,0,0,0,0,Other Shrubland
