"","year","Species","KLN","PYN","LTR","PYS","PYW","235","RCH2014","RIS","RIN","GIL","BSH","KLT","RNR","Obl_Fac"
"1",2008,"BOBO",0.45,0.3,0.37,0.54,0.38,NA,NA,0.06,0,0.54,NA,0.86,NA,"Obligate"
"2",2008,"DICK",0.06,0,0,0,0,NA,NA,0,0,0,NA,0.23,NA,"Obligate"
"3",2008,"EAME",0.26,0.6,0.27,0.36,0.19,NA,NA,0.18,0,0.32,NA,0.23,NA,"Obligate"
"4",2008,"GRSP",0.71,1.19,0.85,1.18,1.32,NA,NA,0.77,0.31,0.54,NA,0.69,NA,"Obligate"
"5",2008,"HESP",0.26,0.15,0.32,0.18,0,NA,NA,0.06,0.47,0,NA,0.58,NA,"Obligate"
"6",2008,"SEWR",0,0,0.11,0,0,NA,NA,0.06,0,0,NA,0.52,NA,"Obligate"
"7",2008,"GRPC",0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,"Obligate"
"8",2008,"VESP",0,0,0,0,0,NA,NA,0.06,0,0,NA,0.06,NA,"Obligate"
"9",2008,"LASP",0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,"Obligate"
"10",2008,"UPSA",0,0,0,0,0,NA,NA,0.06,0,0,NA,0,NA,NA
"11",2008,"BHCO",0.06,0.07,0.16,0.36,0.28,NA,NA,0.3,0,0.32,NA,0.4,NA,"Facultative"
"12",2008,"RWBL",1.03,0.45,0.48,0.45,0.28,NA,NA,0.18,0.31,0.86,NA,1.15,NA,"Facultative"
"13",2008,"COYE",0.06,0,0.16,0,0.09,NA,NA,0.3,0.31,0.11,NA,0.35,NA,"Facultative"
"14",2008,"FISP",0,0.07,0.21,0,0.38,NA,NA,0.18,0,0.11,NA,0.06,NA,"Facultative"
"15",2008,"BARS",0,0,0,0.18,0.09,NA,NA,0,0,0,NA,0,NA,"Facultative"
"16",2008,"EAKI",0.06,0.15,0.21,0.18,0.19,NA,NA,0.12,0,0.43,NA,0.12,NA,"Facultative"
"17",2008,"MODO",0,0,0.11,0,0.19,NA,NA,0.12,0,0.11,NA,0,NA,"Facultative"
"18",2008,"NOBO",0,0,0,0,0,NA,NA,0,0,0.43,NA,0.06,NA,"Facultative"
"19",2008,"LOSH",0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,"Facultative"
"20",2008,"EABL",0,0.07,0,0,0,NA,NA,0,0,0,NA,0,NA,"Facultative"
"21",2008,"KILL",0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,"Facultative"
"22",2008,"HOLA",0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,"Facultative"
"23",2008,"TUVU",0,0,0,0,0,NA,NA,0.06,0,0,NA,0.12,NA,"Facultative"
"24",2008,"AMKE",0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,"Facultative"
"25",2008,"BEVI",0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,"Other Shrubland"
"26",2008,"WIFL",0,0,0,0,0,NA,NA,0.06,0,0,NA,0.06,NA,"Other Shrubland"
"27",2008,"GRCA",0,0.07,0.16,0.09,0.19,NA,NA,0.24,0.16,0.11,NA,0.17,NA,"Other Shrubland"
"28",2008,"BRTH",0,0.07,0.05,0.09,0.09,NA,NA,0.24,0,0.11,NA,0.06,NA,"Other Shrubland"
"29",2008,"OROR",0.06,0,0,0,0,NA,NA,0.24,0,0.11,NA,0.12,NA,"Other Shrubland"
"30",2008,"AMRO",0.06,0,0,0,0,NA,NA,0.24,0,0.11,NA,0.12,NA,"Other Shrubland"
"31",2008,"NOMO",0,0,0,0,0.09,NA,NA,0.06,0,0.11,NA,0,NA,"Other Shrubland"
"32",2009,"BOBO",0.71,0.15,0.74,0.18,0.28,NA,NA,0.06,0,0.32,NA,0.92,NA,"Obligate"
"33",2009,"DICK",1.41,0,0.37,0,0.19,NA,NA,0.12,0,0.11,NA,0.75,NA,"Obligate"
"34",2009,"EAME",0.71,0.22,0.21,0.36,0.47,NA,NA,0.36,0,0.32,NA,0.23,NA,"Obligate"
"35",2009,"GRSP",1.22,0.37,0.53,0.63,0.66,NA,NA,0.89,0.31,0.43,NA,0.23,NA,"Obligate"
"36",2009,"HESP",0.32,0,0.05,0,0,NA,NA,0.06,0.16,0,NA,0,NA,"Obligate"
"37",2009,"SEWR",0.13,0,0.05,0.09,0,NA,NA,0.06,0,0.11,NA,0.46,NA,"Obligate"
"38",2009,"GRPC",0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,"Obligate"
"39",2009,"VESP",0,0,0,0,0,NA,NA,0,0,0.11,NA,0,NA,"Obligate"
"40",2009,"LASP",0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,"Obligate"
"41",2009,"UPSA",0.06,0,0,0,0,NA,NA,0,0,0,NA,0.06,NA,NA
"42",2009,"BHCO",0.39,0.37,0.21,0.27,1.23,NA,NA,0.47,0.16,0.32,NA,0.4,NA,"Facultative"
"43",2009,"RWBL",1.09,0.3,0.37,0.18,0.19,NA,NA,0.36,0.31,0,NA,0.4,NA,"Facultative"
"44",2009,"COYE",0.39,0.15,0.11,0,0,NA,NA,0.3,0.31,0.43,NA,0.52,NA,"Facultative"
"45",2009,"FISP",0,0.07,0.11,0.18,0,NA,NA,0.89,0.16,0.11,NA,0.06,NA,"Facultative"
"46",2009,"BARS",0,0,0,0.18,0.28,NA,NA,0,0,0,NA,0,NA,"Facultative"
"47",2009,"EAKI",0.26,0.15,0.21,0.27,0.28,NA,NA,0.36,0.31,0.22,NA,0.12,NA,"Facultative"
"48",2009,"MODO",0,0,0,0.09,0,NA,NA,0.06,0.31,0,NA,0,NA,"Facultative"
"49",2009,"NOBO",0,0,0,0,0,NA,NA,0.06,0,0,NA,0,NA,"Facultative"
"50",2009,"LOSH",0,0.3,0,0,0.19,NA,NA,0,0,0,NA,0,NA,"Facultative"
"51",2009,"EABL",0,0.22,0,0,0.09,NA,NA,0.24,0,0.11,NA,0,NA,"Facultative"
"52",2009,"KILL",0.06,0,0,0,0,NA,NA,0,0,0,NA,0,NA,"Facultative"
"53",2009,"HOLA",0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,"Facultative"
"54",2009,"TUVU",0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,"Facultative"
"55",2009,"AMKE",0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,"Facultative"
"56",2009,"BEVI",0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,"Other Shrubland"
"57",2009,"WIFL",0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,"Other Shrubland"
"58",2009,"GRCA",0.06,0,0.11,0,0.09,NA,NA,0.18,0.16,0.22,NA,0.12,NA,"Other Shrubland"
"59",2009,"BRTH",0,0.3,0.05,0.09,0.09,NA,NA,0.24,0,0.43,NA,0.06,NA,"Other Shrubland"
"60",2009,"OROR",0.06,0,0,0,0,NA,NA,0,0,0.11,NA,0.17,NA,"Other Shrubland"
"61",2009,"AMRO",0.06,0,0,0,0,NA,NA,0,0,0.11,NA,0.17,NA,"Other Shrubland"
"62",2009,"NOMO",0,0,0.05,0,0,NA,NA,0,0,0.11,NA,0,NA,"Other Shrubland"
"63",2010,"BOBO",1.42,0.3,0.47,0.56,0.4,NA,NA,0.15,0,0.25,NA,0.42,NA,"Obligate"
"64",2010,"DICK",1,0.2,0.18,0.22,0,NA,NA,0,0,0.25,NA,1.17,NA,"Obligate"
"65",2010,"EAME",0.58,0.5,0.41,0.56,0.8,NA,NA,0.23,0,0.25,NA,0.17,NA,"Obligate"
"66",2010,"GRSP",0.83,0.8,0.47,1.67,1.6,NA,NA,0.92,0.67,0.25,NA,0.08,NA,"Obligate"
"67",2010,"HESP",0.83,0,0.12,0.11,0.13,NA,NA,0,0.67,0,NA,0.58,NA,"Obligate"
"68",2010,"SEWR",0.25,0.1,0,0,0,NA,NA,0,0,0.12,NA,0.67,NA,"Obligate"
"69",2010,"GRPC",0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,"Obligate"
"70",2010,"VESP",0,0,0.06,0,0,NA,NA,0,0,0,NA,0,NA,"Obligate"
"71",2010,"LASP",0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,"Obligate"
"72",2010,"UPSA",0.08,0,0,0,0,NA,NA,0,0,0,NA,0,NA,NA
"73",2010,"BHCO",0.83,0.3,0.18,0.22,0.4,NA,NA,0.54,0.33,0.5,NA,0.17,NA,"Facultative"
"74",2010,"RWBL",1.17,1,0.53,0.67,0.27,NA,NA,0.46,0.17,1.12,NA,0.5,NA,"Facultative"
"75",2010,"COYE",0.08,0.1,0.12,0.11,0.13,NA,NA,0.15,0.67,0.62,NA,0.25,NA,"Facultative"
"76",2010,"FISP",0,0,0.12,0.22,0.4,NA,NA,1.15,0.33,0.62,NA,0.08,NA,"Facultative"
"77",2010,"BARS",0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,"Facultative"
"78",2010,"EAKI",0.17,0.2,0.29,0.33,0.4,NA,NA,0.23,0.17,0.25,NA,0.17,NA,"Facultative"
"79",2010,"MODO",0,0,0.12,0,0,NA,NA,0.15,0,0,NA,0.08,NA,"Facultative"
"80",2010,"NOBO",0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,"Facultative"
"81",2010,"LOSH",0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,"Facultative"
"82",2010,"EABL",0,0,0,0,0.13,NA,NA,0,0,0,NA,0,NA,"Facultative"
"83",2010,"KILL",0,0,0,0,0,NA,NA,0,0,0,NA,0.08,NA,"Facultative"
"84",2010,"HOLA",0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,"Facultative"
"85",2010,"TUVU",0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,"Facultative"
"86",2010,"AMKE",0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,"Facultative"
"87",2010,"BEVI",0,0,0,0,0,NA,NA,0,0,0.12,NA,0,NA,"Other Shrubland"
"88",2010,"WIFL",0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,"Other Shrubland"
"89",2010,"GRCA",0,0.2,0.12,0,0.27,NA,NA,0.23,0.33,0.5,NA,0.17,NA,"Other Shrubland"
"90",2010,"BRTH",0.17,0.1,0,0.11,0.13,NA,NA,0.23,0,0.25,NA,0,NA,"Other Shrubland"
"91",2010,"OROR",0.08,0.1,0,0,0,NA,NA,0,0,0.25,NA,0,NA,"Other Shrubland"
"92",2010,"AMRO",0.08,0.1,0,0,0,NA,NA,0,0,0.25,NA,0,NA,"Other Shrubland"
"93",2010,"NOMO",0,0,0,0,0,NA,NA,0,0.17,0,NA,0,NA,"Other Shrubland"
"94",2011,"BOBO",0.67,0.6,0.29,0.67,0.4,NA,NA,0.15,0.67,0.12,NA,0.17,NA,"Obligate"
"95",2011,"DICK",1.08,0.6,0.24,0.67,0.27,NA,NA,0.54,0.17,0.25,NA,0.92,NA,"Obligate"
"96",2011,"EAME",0.17,0.5,0.18,0.67,0.4,NA,NA,0.23,0,0.12,NA,0.08,NA,"Obligate"
"97",2011,"GRSP",0.58,0.4,0.35,0.67,0.67,NA,NA,0.85,0.17,0.12,NA,0.17,NA,"Obligate"
