"","past_pat_year","past_pat","pasture_id","patch_id","year","EAME_1","EAME_2","EAME_3","EAME_4","EAME_5","clouds_1","clouds_2","clouds_3","clouds_4","clouds_5","wind_1","wind_2","wind_3","wind_4","wind_5","julian_date_1","julian_date_2","julian_date_3","julian_date_4","julian_date_5","start_time_1","start_time_2","start_time_3","start_time_4","start_time_5","observer_1","observer_2","observer_3","observer_4","observer_5","area_surveyed","transect_length"
"1","235_C_2014","235_C","235","C",2014,1,3,2,8,6,0.13,0.13,0.38,0.13,0.13,2,4,5,3,2,141,152,168,184,200,6.85,8.21666666666667,8.11666666666667,7.13333333333333,6.95,"CD","SR","CD","ORG","CD",8,800
"2","235_C_2015","235_C","235","C",2015,3,1,2,11,4,0.13,0.38,0.38,0.13,0.13,3,3,2,3,2,141,161,177,193,211,7.63333333333333,8.53333333333333,7.46666666666667,7.48333333333333,7.58333333333333,"BSV","BSV","BSV","BSV","BSV",8,800
"3","235_C_2016","235_C","235","C",2016,3,2,3,3,7,0.13,0.63,0.13,0.38,0.38,1,2,1,3,2,150,166,179,195,211,6.38333333333333,7.71666666666667,6.21666666666667,7.96666666666667,7.63333333333333,"SBN","JJC","SR","ACW","SBN",8,800
"4","235_C_2017","235_C","235","C",2017,5,3,0,3,1,0.13,0.38,0.13,0.13,0.13,1,4,4,1,2,150,164,176,189,205,7.06666666666667,7.43333333333333,7.96666666666667,8.35,7.8,"JJC","ALL","JJC","ALL","JJC",8,800
"5","235_C_2018","235_C","235","C",2018,0,3,4,2,2,0.13,0.38,0.88,0.13,0.38,4,3,2,2,4,147,161,174,187,199,7.78333333333333,7.51666666666667,8.8,6.91666666666667,7.81666666666667,"SR","JJC","SR","TMS","BJE",8,800
"6","235_C_2021","235_C","235","C",2021,4,0,2,4,2,0.88,0.38,0.63,0.88,0.13,1,1,1,3,1,151,165,179,192,199,8.01666666666667,6.85,7.28333333333333,7.46666666666667,7.03333333333333,"JJC","JJC","JNA","JEM","JJC",8,800
"7","235_C_2022","235_C","235","C",2022,3,1,1,1,2,0.38,0.13,0.13,0.13,0.38,3,2,3,3,3,156,168,179,191,196,7.26666666666667,8.3,7.66666666666667,8.38333333333333,8.21666666666667,"JJC","HKG","WPT","NGP","JJC",8,800
"8","235_C_2023","235_C","235","C",2023,2,4,1,2,5,0.38,0.88,0.38,0.88,0.13,2,3,1,3,2,154,168,178,189,195,7.66666666666667,8.38333333333333,8.85,7.79,7.45,"JJC","WPT","JJC","JJC","JLS",8,800
"9","235_N_2014","235_N","235","N",2014,1,0,1,2,1,0.13,0.13,0.38,0.13,0.13,2,4,4,2,2,141,152,168,184,200,7.11666666666667,8.68333333333333,8.76666666666667,7.56666666666667,7.2,"CD","SR","CD","ORG","CD",8,800
"10","235_N_2015","235_N","235","N",2015,1,1,2,11,2,0.13,0.38,0.38,0.13,0.13,3,3,3,3,2,139,161,177,193,211,8.13333333333333,8.81666666666667,7.75,7.83333333333333,7.88333333333333,"BSV","BSV","BSV","BSV","BSV",8,800
"11","235_N_2016","235_N","235","N",2016,2,1,1,5,1,0.38,0.63,0.13,0.38,0.63,1,1,1,3,2,150,166,179,195,211,8.98333333333333,8.13333333333333,6.53333333333333,8.36666666666667,8.05,"SBN","JJC","SR","ACW","SBN",8,800
"12","235_N_2017","235_N","235","N",2017,1,2,0,0,0,0.13,0.38,0.13,0.13,0.13,2,4,3,1,2,150,164,176,189,205,8.35,7.75,8.28333333333333,8.66666666666667,8.08333333333333,"JJC","ALL","JJC","ALL","JJC",8,800
"13","235_N_2018","235_N","235","N",2018,1,5,3,2,2,0.13,0.63,0.88,0.13,0.38,4,1,2,2,3,147,161,174,187,199,8.6,7.91666666666667,9.05,7.58333333333333,7.2,"SR","JJC","SR","TMS","BJE",8,800
"14","235_N_2021","235_N","235","N",2021,1,3,1,5,3,0.88,0.38,0.88,0.88,0.13,1,1,1,3,1,151,165,179,192,199,6.95,7.21666666666667,7.95,8.15,7.5,"JJC","JJC","JNA","JEM","JJC",8,800
"15","235_N_2022","235_N","235","N",2022,2,2,3,5,3,0.38,0.13,0.13,0.13,0.38,1,2,3,3,3,156,168,179,191,196,6.41666666666667,7.53333333333333,8.71666666666667,7.68333333333333,7.5,"JJC","HKG","WPT","NGP","JJC",8,800
"16","235_N_2023","235_N","235","N",2023,4,0,1,3,5,0.38,0.88,0.13,0.13,0.13,1,3,3,3,3,154,168,183,191,195,9.15,8.95,9.48333333333333,8.53333333333333,7.9,"JJC","WPT","JJC","JJC","JLS",8,800
"17","235_S_2014","235_S","235","S",2014,4,1,3,6,5,0.38,0.38,0.38,0.13,0.38,2,4,4,3,1,141,152,168,184,200,6.16666666666667,7.56666666666667,7.51666666666667,5.86666666666667,6.2,"CD","SR","CD","ORG","CD",9,900
"18","235_S_2015","235_S","235","S",2015,1,1,0,2,7,0.13,0.38,0.88,0.13,0.13,2,3,2,3,2,141,161,177,193,211,6.56666666666667,7.91666666666667,6.6,6.53333333333333,6.7,"BSV","BSV","BSV","BSV","BSV",9,900
"19","235_S_2016","235_S","235","S",2016,2,3,2,0,1,0.13,0.38,0.13,0.38,0.38,1,1,4,3,2,150,166,177,195,211,7.08333333333333,6.4,8.86666666666667,6.43333333333333,6.46666666666667,"SBN","JJC","SR","ACW","SBN",9,900
"20","235_S_2017","235_S","235","S",2017,2,4,4,3,3,0.38,0.13,0.13,0.13,0.13,3,4,2,1,1,150,164,176,189,205,5.91666666666667,6.3,6.73333333333333,7.31666666666667,6.38333333333333,"JJC","ALL","JJC","ALL","JJC",9,900
"21","235_S_2018","235_S","235","S",2018,0,3,0,5,1,0.13,0.38,0.88,0.38,0.63,4,2,2,2,3,147,161,174,187,199,7.05,6.3,8.06666666666667,6.06666666666667,6.33333333333333,"SR","JJC","SR","TMS","BJE",9,900
"22","235_S_2021","235_S","235","S",2021,0,0,3,1,1,0.88,0.38,0.88,0.88,0.13,1,3,1,3,1,151,165,179,192,199,6.08333333333333,5.95,6.13333333333333,6.5,6.21666666666667,"JJC","JJC","JNA","JEM","JJC",9,900
"23","235_S_2022","235_S","235","S",2022,5,2,6,3,2,0.88,0.13,0.38,0.13,0.63,3,2,3,3,2,158,168,179,191,196,6.78333333333333,6.05,6.28333333333333,6.4,6.55,"JJC","HKG","WPT","NGP","JJC",9,900
"24","235_S_2023","235_S","235","S",2023,3,2,4,2,5,0.38,0.63,0.13,0.88,0.13,1,3,1,3,3,154,168,178,189,195,6.31666666666667,6.61666666666667,6.03333333333333,6.1,6.35,"JJC","WPT","JJC","JJC","JLS",9,900
"25","BSH_C_2014","BSH_C","BSH","C",2014,1,0,NA,NA,NA,0.13,0.13,0.43,0.37,0.37,1,2,2.32,2.29,2.15,184,200,169.67,182.77,195.25,6.26666666666667,7.93333333333333,7.59,7.79,7.82,"CD","ORG",NA,NA,NA,2,200
"26","BSH_C_2015","BSH_C","BSH","C",2015,0,0,1,1,0,0.13,0.13,0.13,0.13,0.63,3,3,2,3,2,149,159,174,193,215,6.86666666666667,7.01666666666667,6.25,9.63333333333333,6.73333333333333,"SR","SR","BSV","BSV","SR",2,200
"27","BSH_C_2016","BSH_C","BSH","C",2016,0,1,0,0,0,0.63,0.13,0.38,0.13,0.38,2,1,2,3,1,149,165,180,193,209,6.98333333333333,6.85,6.63333333333333,8.2,7.28333333333333,"SBN","JJC","SR","SBN","ACW",2,200
"28","BSH_N_2014","BSH_N","BSH","N",2014,0,1,NA,NA,NA,0.13,0.13,0.43,0.37,0.37,1,2,2.32,2.29,2.15,184,200,169.67,182.77,195.25,6.43333333333333,8.06666666666667,7.59,7.79,7.82,"CD","ORG",NA,NA,NA,2,200
"29","BSH_N_2015","BSH_N","BSH","N",2015,0,0,0,1,0,0.13,0.13,0.13,0.13,0.38,3,3,2,3,2,149,159,174,193,215,7.11666666666667,7.13333333333333,6.38333333333333,9.81666666666667,6.9,"SR","SR","BSV","BSV","SR",2,200
"30","BSH_N_2017","BSH_N","BSH","N",2017,1,0,0,0,0,0.38,0.13,0.13,0.13,0.13,2,4,2,1,2,146,162,178,190,205,9.01666666666667,6.35,8.41666666666667,8.38333333333333,8.5,"JD","ALL","ALL","JJC","JD",2,200
"31","BSH_S_2015","BSH_S","BSH","S",2015,0,0,0,1,0,0.13,0.13,0.13,0.13,0.63,3,3,2,3,2,149,159,174,193,215,6.76666666666667,6.91666666666667,6.13333333333333,9.48333333333333,6.6,"SR","SR","BSV","BSV","SR",2,200
"32","DUN_C_2015","DUN_C","DUN","C",2015,0,0,1,1,1,0.13,0.63,0.38,0.13,0.38,2,4,2,2,1,147,158,172,191,215,8.26666666666667,6.75,7.85,7.98333333333333,7.5,"BSV","BSV","BSV","BSV","JJC",3,300
