"","past_pat_year","past_pat","pasture_id","patch_id","year","HESP_1","HESP_2","HESP_3","HESP_4","HESP_5","clouds_1","clouds_2","clouds_3","clouds_4","clouds_5","wind_1","wind_2","wind_3","wind_4","wind_5","julian_date_1","julian_date_2","julian_date_3","julian_date_4","julian_date_5","start_time_1","start_time_2","start_time_3","start_time_4","start_time_5","observer_1","observer_2","observer_3","observer_4","observer_5","area_surveyed","transect_length"
"1","235_C_2017","235_C","235","C",2017,3,2,1,2,4,0.13,0.38,0.13,0.13,0.13,1,4,4,1,2,150,164,176,189,205,7.06666666666667,7.43333333333333,7.96666666666667,8.35,7.8,"JJC","ALL","JJC","ALL","JJC",8,800
"2","235_C_2018","235_C","235","C",2018,1,2,0,13,4,0.13,0.38,0.88,0.13,0.38,4,3,2,2,4,147,161,174,187,199,7.78333333333333,7.51666666666667,8.8,6.91666666666667,7.81666666666667,"SR","JJC","SR","TMS","BJE",8,800
"3","235_N_2018","235_N","235","N",2018,0,0,0,0,3,0.13,0.63,0.88,0.13,0.38,4,1,2,2,3,147,161,174,187,199,8.6,7.91666666666667,9.05,7.58333333333333,7.2,"SR","JJC","SR","TMS","BJE",8,800
"4","235_N_2021","235_N","235","N",2021,0,0,1,2,0,0.88,0.38,0.88,0.88,0.13,1,1,1,3,1,151,165,179,192,199,6.95,7.21666666666667,7.95,8.15,7.5,"JJC","JJC","JNA","JEM","JJC",8,800
"5","235_N_2022","235_N","235","N",2022,2,2,0,1,1,0.38,0.13,0.13,0.13,0.38,1,2,3,3,3,156,168,179,191,196,6.41666666666667,7.53333333333333,8.71666666666667,7.68333333333333,7.5,"JJC","HKG","WPT","NGP","JJC",8,800
"6","235_S_2014","235_S","235","S",2014,0,1,0,0,0,0.38,0.38,0.38,0.13,0.38,2,4,4,3,1,141,152,168,184,200,6.16666666666667,7.56666666666667,7.51666666666667,5.86666666666667,6.2,"CD","SR","CD","ORG","CD",9,900
"7","235_S_2016","235_S","235","S",2016,1,0,0,0,0,0.13,0.38,0.13,0.38,0.38,1,1,4,3,2,150,166,177,195,211,7.08333333333333,6.4,8.86666666666667,6.43333333333333,6.46666666666667,"SBN","JJC","SR","ACW","SBN",9,900
"8","235_S_2017","235_S","235","S",2017,2,2,4,1,1,0.38,0.13,0.13,0.13,0.13,3,4,2,1,1,150,164,176,189,205,5.91666666666667,6.3,6.73333333333333,7.31666666666667,6.38333333333333,"JJC","ALL","JJC","ALL","JJC",9,900
"9","235_S_2022","235_S","235","S",2022,0,1,0,0,0,0.88,0.13,0.38,0.13,0.63,3,2,3,3,2,158,168,179,191,196,6.78333333333333,6.05,6.28333333333333,6.4,6.55,"JJC","HKG","WPT","NGP","JJC",9,900
"10","235_S_2023","235_S","235","S",2023,2,1,0,0,2,0.38,0.63,0.13,0.88,0.13,1,3,1,3,3,154,168,178,189,195,6.31666666666667,6.61666666666667,6.03333333333333,6.1,6.35,"JJC","WPT","JJC","JJC","JLS",9,900
"11","BSH_N_2016","BSH_N","BSH","N",2016,1,0,0,0,0,0.88,0.13,0.38,0.13,0.38,4,1,3,3,1,149,165,180,193,209,7.5,7.31666666666667,6.83333333333333,8.76666666666667,7.76666666666667,"SBN","JJC","SR","SBN","ACW",2,200
"12","DUN_C_2015","DUN_C","DUN","C",2015,0,1,0,0,0,0.13,0.63,0.38,0.13,0.38,2,4,2,2,1,147,158,172,191,215,8.26666666666667,6.75,7.85,7.98333333333333,7.5,"BSV","BSV","BSV","BSV","JJC",3,300
"13","DUN_C_2016","DUN_C","DUN","C",2016,0,1,2,2,1,0.38,0.38,0.63,0.13,0.38,1,2,2,1,3,153,166,177,197,213,7.83333333333333,6.96666666666667,7.33333333333333,7.16666666666667,8.63333333333333,"JJC","SBN","JJC","SBN","SR",3,300
"14","DUN_C_2017","DUN_C","DUN","C",2017,4,3,1,2,1,0.13,0.13,0.13,0.13,0.13,1,1,2,1,1,150,160,176,188,203,6.4,7.63333333333333,7.06666666666667,7.4,7.18333333333333,"JD","JJC","JD","ALL","JJC",3,300
"15","DUN_C_2018","DUN_C","DUN","C",2018,1,3,3,1,4,0.13,0.13,0.88,0.13,0.13,2,1,3,3,3,147,159,173,188,201,7.43333333333333,6.81666666666667,7.08333333333333,9.03333333333333,7.46666666666667,"TMS","JJC","TMS","TMS","TMS",3,300
"16","DUN_E_2014","DUN_E","DUN","E",2014,1,NA,NA,NA,NA,0.13,0.37,0.43,0.37,0.37,1,2.4,2.32,2.29,2.15,210,158.38,169.67,182.77,195.25,8.18333333333333,7.61,7.59,7.79,7.82,"SBN",NA,NA,NA,NA,3,300
"17","DUN_E_2015","DUN_E","DUN","E",2015,1,2,2,2,0,0.13,0.63,0.13,0.13,0.38,2,4,1,2,2,147,158,172,191,215,7.21666666666667,5.9,6.8,7.01666666666667,6.5,"BSV","BSV","BSV","BSV","JJC",3,300
"18","DUN_E_2016","DUN_E","DUN","E",2016,0,1,0,1,0,0.38,0.38,0.63,0.13,0.38,1,1,2,2,3,153,166,177,197,213,6.96666666666667,6.23333333333333,6.48333333333333,6.48333333333333,7.88333333333333,"JJC","SBN","JJC","SBN","SR",3,300
"19","DUN_E_2017","DUN_E","DUN","E",2017,0,1,1,1,2,0.13,0.13,0.13,0.13,0.13,1,1,2,1,1,150,160,176,188,203,5.88333333333333,6.43333333333333,5.96666666666667,6.21666666666667,6.61666666666667,"JD","JJC","JD","ALL","JJC",3,300
"20","DUN_E_2018","DUN_E","DUN","E",2018,1,1,1,3,3,0.13,0.38,0.88,0.13,0.13,1,1,4,2,3,147,159,173,188,201,6.38333333333333,5.85,6.36666666666667,8.28333333333333,6.71666666666667,"TMS","JJC","TMS","TMS","TMS",3,300
"21","DUN_W_2014","DUN_W","DUN","W",2014,4,NA,NA,NA,NA,0.38,0.37,0.43,0.37,0.37,1,2.4,2.32,2.29,2.15,210,158.38,169.67,182.77,195.25,9.15,7.61,7.59,7.79,7.82,"SBN",NA,NA,NA,NA,3,300
"22","DUN_W_2015","DUN_W","DUN","W",2015,0,1,3,2,1,0.13,0.63,0.13,0.13,0.38,2,4,2,2,1,147,158,172,191,215,7.78333333333333,6.36666666666667,7.36666666666667,7.41666666666667,6.95,"BSV","BSV","BSV","BSV","JJC",3,300
"23","DUN_W_2016","DUN_W","DUN","W",2016,0,0,1,0,2,0.38,0.38,0.63,0.13,0.38,1,3,2,3,3,153,166,177,197,213,7.4,7.6,7.06666666666667,7.7,8.28333333333333,"JJC","SBN","JJC","SBN","SR",3,300
"24","DUN_W_2017","DUN_W","DUN","W",2017,1,1,4,1,1,0.13,0.13,0.13,0.13,0.13,2,1,1,2,1,150,160,176,188,203,6.86666666666667,7.05,6.58333333333333,6.9,7.51666666666667,"JD","JJC","JD","ALL","JJC",3,300
"25","DUN_W_2018","DUN_W","DUN","W",2018,2,5,0,2,3,0.13,0.13,0.88,0.13,0.13,2,1,4,3,4,147,159,173,188,201,7,6.36666666666667,6.73333333333333,8.66666666666667,7.15,"TMS","JJC","TMS","TMS","TMS",3,300
"26","FRN_S_2016","FRN_S","FRN","S",2016,0,0,0,0,1,0.38,0.38,0.38,0.13,0.13,1,3,2,4,3,153,166,177,192,213,9.33333333333333,9.95,8.83333333333333,7.58333333333333,7.21666666666667,"JJC","SBN","JJC","SR","SR",2,200
"27","GIL_C_2017","GIL_C","GIL","C",2017,1,0,0,0,0,0.13,0.13,0.13,0.13,0.38,2,4,2,3,1,148,161,175,188,201,9.16666666666667,8.41666666666667,7,7.56666666666667,6.96666666666667,"ALL","JD","JJC","JD","JJC",3,300
"28","GIL_C_2018","GIL_C","GIL","C",2018,1,0,0,0,0,0.13,0.88,0.88,0.13,0.13,4,3,4,3,1,146,160,173,189,202,8.38333333333333,8.48333333333333,7.75,7.75,6.23333333333333,"SR","JJC","BJE","BJE","TMS",3,300
"29","GIL_C_2022","GIL_C","GIL","C",2022,0,0,0,0,1,0.38,0.88,0.13,0.88,0.63,2,3,2,1,1,154,168,180,189,198,7.73333333333333,7.23333333333333,6.63333333333333,9.33333333333333,6.21666666666667,"JJC","WPT","JJC","HKG","JJC",3,300
"30","KLN_C_2007","KLN_C","KLN","C",2007,4,1,3,4,2,0.13,0.88,0.13,0.13,0.13,1,5,4,1,2,145,150,159,166,177,8.15,8.51666666666667,7.61666666666667,7.95,6.48333333333333,"CW","JF","FP","FP","CW",5.96,596
"31","KLN_C_2008","KLN_C","KLN","C",2008,1,0,0,0,1,0.38,0.38,0.63,0.88,0.88,4,4,3,2,2,134,140,146,156,165,6.33333333333333,9.31666666666667,8.68333333333333,8.98333333333333,6.6,"CW","SR","CW","CW","SR",5.96,596
"32","KLN_C_2010","KLN_C","KLN","C",2010,1,0,4,0,4,0.13,0.13,0.63,0.63,0.38,2,1,2,2,3,139,149,158,174,184,6.73333333333333,7.01666666666667,7.2,7.05,7,"SR","SR","TH","SR","TH",4,400
"33","KLN_C_2011","KLN_C","KLN","C",2011,2,2,2,1,2,0.63,0.37,0.88,0.13,0.13,2,2.4,2,2,2,139,147,162,175,183,7.4,6.96666666666667,6.26666666666667,6.36666666666667,6.31666666666667,"TL","SR","CP","CP","CD",4,400
"34","KLN_C_2012","KLN_C","KLN","C",2012,0,1,1,1,0,0.13,0.63,0.38,0.13,0.38,4,3,2,3,3,138,147,160,173,181,8.95,8.76666666666667,6.38333333333333,9.33333333333333,8.98333333333333,"SR","CD","CD","SR","CD",4,400
"35","KLN_C_2013","KLN_C","KLN","C",2013,1,0,0,0,0,0.88,0.88,0.38,0.13,0.38,4,1,1,2,4,143,156,168,177,194,6.26666666666667,6.95,7.58333333333333,6.63333333333333,8.61666666666667,"CD","AM","SR","AM","CD",4,400
"36","KLN_C_2015","KLN_C","KLN","C",2015,0,1,0,0,0,0.63,0.13,0.63,0.13,0.63,4,3,4,4,3,145,159,173,195,215,8.95,6.01666666666667,6.7,6.36666666666667,7.51666666666667,"BSV","SR","SR","SR","SR",4,400
"37","KLN_C_2016","KLN_C","KLN","C",2016,2,2,1,0,3,0.38,0.38,0.13,0.63,0.88,1,2,4,4,1,151,168,179,192,215,6.63333333333333,7.1,7.98333333333333,9.51666666666667,6.4,"SBN","ACW","SR","SBN","JJC",4,400
"38","KLN_C_2022","KLN_C","KLN","C",2022,0,1,1,0,1,0.63,0.13,0.13,0.88,0.38,2,3,2,2,3,156,170,180,190,196,6.4,6.26666666666667,7.1,6.41666666666667,9.16666666666667,"HKG","WPT","JLS","JJC","JJC",4,400
"39","KLN_E_2007","KLN_E","KLN","E",2007,0,0,1,0,0,0.13,0.88,0.13,0.13,0.13,1,3,2.32,2,2,145,150,159,166,177,7.9,8.35,7.86666666666667,8.48333333333333,6.31666666666667,"JF","JF","CB","FP","CW",5.84,584
"40","KLN_E_2008","KLN_E","KLN","E",2008,2,0,1,3,0,0.38,0.38,0.63,0.88,0.88,4,4,3,2,2,134,140,146,156,165,6.1,9.15,8.56666666666667,8.83333333333333,6.46666666666667,"CW","SR","CW","CW","SR",5.84,584
"41","KLN_E_2009","KLN_E","KLN","E",2009,5,2,2,4,2,0.13,0.13,0.38,0.13,0.63,3,3,3,2,3,134,168,170,182,201,6.7,8.2,6.48333333333333,8.8,8.46666666666667,"EH","SR","EH","FP","EH",5.84,584
"42","KLN_E_2010","KLN_E","KLN","E",2010,1,1,1,1,4,0.13,0.13,0.63,0.63,0.38,2,1,2,2,3,139,149,158,174,184,6.51666666666667,6.86666666666667,6.96666666666667,6.93333333333333,6.8,"SR","SR","TH","SR","TH",5,500
"43","KLN_E_2011","KLN_E","KLN","E",2011,5,2,1,1,3,0.63,0.13,0.88,0.13,0.13,2,3,2,1,2,139,147,162,175,183,7.03333333333333,6.8,6.16666666666667,6.16666666666667,6.11666666666667,"TL","SR","CP","CP","CD",5,500
"44","KLN_E_2012","KLN_E","KLN","E",2012,0,4,1,0,1,0.13,0.63,0.38,0.13,0.38,4,3,2,3,3,138,147,160,173,181,8.68333333333333,8.65,6.25,9.18333333333333,8.85,"SR","CD","CD","SR","CD",5,500
"45","KLN_E_2013","KLN_E","KLN","E",2013,0,0,0,1,0,0.88,0.88,0.38,0.38,0.38,4,1,1,2,3,143,156,168,177,194,6.41666666666667,6.81666666666667,7.48333333333333,6.43333333333333,8.4,"CD","AM","CD","AM","CD",5,500
