"","Species","Obl_Fac"
"1","BOBO","Obligate"
"2","DICK","Obligate"
"3","EAME","Obligate"
"4","GRSP","Obligate"
"5","HESP","Obligate"
"6","SEWR","Obligate"
"7","NOHA","Obligate"
"8","GRPC","Obligate"
"9","VESP","Obligate"
"10","LASP","Obligate"
"11","BHCO","Facultative"
"12","RWBL","Facultative"
"13","COYE","Facultative"
"14","FISP","Facultative"
"15","BARS","Facultative"
"16","EAKI","Facultative"
"17","MODO","Facultative"
"18","NOBO","Facultative"
"19","LOSH","Facultative"
"20","EABL","Facultative"
"21","KILL","Facultative"
"22","HOLA","Facultative"
"23","TUVU","Facultative"
"24","AMKE","Facultative"
"25","BEVI","Other Shrubland"
"26","WIFL","Other Shrubland"
"27","GRCA","Other Shrubland"
"28","BRTH","Other Shrubland"
"29","OROR","Other Shrubland"
"30","AMRO","Other Shrubland"
"31","NOMO","Other Shrubland"
