"","pasture_id","patch_id","year","n"
"1","235","C",2014,5
"2","235","C",2015,5
"3","235","C",2016,5
"4","235","C",2017,5
"5","235","C",2018,5
"6","235","C",2021,5
"7","235","C",2022,5
"8","235","C",2023,5
"9","235","N",2014,5
"10","235","N",2015,5
"11","235","N",2016,5
"12","235","N",2017,5
"13","235","N",2018,5
"14","235","N",2021,5
"15","235","N",2022,5
"16","235","N",2023,5
"17","235","S",2014,5
"18","235","S",2015,5
"19","235","S",2016,5
"20","235","S",2017,5
"21","235","S",2018,5
"22","235","S",2021,5
"23","235","S",2022,5
"24","235","S",2023,5
"25","BSH","C",2014,2
"26","BSH","C",2015,5
"27","BSH","C",2016,5
"28","BSH","C",2017,5
"29","BSH","C",2021,5
"30","BSH","C",2022,5
"31","BSH","C",2023,5
"32","BSH","N",2014,2
"33","BSH","N",2015,5
"34","BSH","N",2016,5
"35","BSH","N",2017,5
"36","BSH","N",2021,5
"37","BSH","N",2022,5
"38","BSH","N",2023,5
"39","BSH","S",2014,2
"40","BSH","S",2015,5
"41","BSH","S",2016,5
"42","BSH","S",2017,5
"43","BSH","S",2021,5
"44","BSH","S",2022,5
"45","BSH","S",2023,5
"46","DUN","C",2014,1
"47","DUN","C",2015,5
"48","DUN","C",2016,5
"49","DUN","C",2017,5
"50","DUN","C",2018,5
"51","DUN","E",2014,1
"52","DUN","E",2015,5
"53","DUN","E",2016,5
"54","DUN","E",2017,5
"55","DUN","E",2018,5
"56","DUN","W",2014,1
"57","DUN","W",2015,5
"58","DUN","W",2016,5
"59","DUN","W",2017,5
"60","DUN","W",2018,5
"61","FRN","E",2014,2
"62","FRN","E",2015,5
"63","FRN","E",2016,5
"64","FRN","S",2014,2
"65","FRN","S",2015,5
"66","FRN","S",2016,5
"67","FRN","W",2014,2
"68","FRN","W",2015,5
"69","FRN","W",2016,5
"70","FRS","E",2014,1
"71","FRS","E",2015,5
"72","FRS","E",2016,5
"73","FRS","N",2014,1
"74","FRS","N",2015,5
"75","FRS","N",2016,5
"76","FRS","W",2014,1
"77","FRS","W",2015,5
"78","FRS","W",2016,5
"79","GIL","C",2007,5
"80","GIL","C",2008,5
"81","GIL","C",2009,5
"82","GIL","C",2010,5
"83","GIL","C",2011,5
"84","GIL","C",2012,5
"85","GIL","C",2013,5
"86","GIL","C",2014,5
"87","GIL","C",2015,5
"88","GIL","C",2016,5
"89","GIL","C",2017,5
"90","GIL","C",2018,5
"91","GIL","C",2021,5
"92","GIL","C",2022,5
"93","GIL","C",2023,5
"94","GIL","N",2007,5
"95","GIL","N",2008,5
"96","GIL","N",2009,5
"97","GIL","N",2010,5
"98","GIL","N",2011,5
"99","GIL","N",2012,5
"100","GIL","N",2013,5
"101","GIL","N",2014,5
"102","GIL","N",2015,5
"103","GIL","N",2016,5
"104","GIL","N",2017,5
"105","GIL","N",2018,5
"106","GIL","N",2021,5
"107","GIL","N",2022,4
"108","GIL","N",2023,5
"109","GIL","S",2007,5
"110","GIL","S",2008,5
"111","GIL","S",2009,5
"112","GIL","S",2010,5
"113","GIL","S",2011,5
"114","GIL","S",2012,5
"115","GIL","S",2013,5
"116","GIL","S",2014,5
"117","GIL","S",2015,5
"118","GIL","S",2016,5
"119","GIL","S",2017,5
"120","GIL","S",2018,5
"121","GIL","S",2021,5
"122","GIL","S",2022,5
"123","GIL","S",2023,5
"124","GIL","W",2022,1
"125","KLN","C",2007,5
"126","KLN","C",2008,5
"127","KLN","C",2009,6
"128","KLN","C",2010,5
"129","KLN","C",2011,5
"130","KLN","C",2012,5
"131","KLN","C",2013,5
"132","KLN","C",2014,5
"133","KLN","C",2015,5
"134","KLN","C",2016,5
"135","KLN","C",2017,5
"136","KLN","C",2018,5
"137","KLN","C",2021,5
"138","KLN","C",2022,5
"139","KLN","C",2023,5
"140","KLN","E",2007,5
"141","KLN","E",2008,5
"142","KLN","E",2009,6
"143","KLN","E",2010,5
"144","KLN","E",2011,5
"145","KLN","E",2012,5
"146","KLN","E",2013,5
"147","KLN","E",2014,5
"148","KLN","E",2015,5
"149","KLN","E",2016,5
"150","KLN","E",2017,5
"151","KLN","E",2018,5
"152","KLN","E",2021,5
"153","KLN","E",2022,5
"154","KLN","E",2023,5
"155","KLN","W",2007,6
"156","KLN","W",2008,5
"157","KLN","W",2009,6
"158","KLN","W",2010,5
"159","KLN","W",2011,5
"160","KLN","W",2012,5
"161","KLN","W",2013,5
"162","KLN","W",2014,5
"163","KLN","W",2015,5
"164","KLN","W",2016,5
"165","KLN","W",2017,5
"166","KLN","W",2018,5
"167","KLN","W",2021,5
"168","KLN","W",2022,5
"169","KLN","W",2023,5
"170","KLT","E",2007,5
"171","KLT","E",2008,6
"172","KLT","E",2009,6
"173","KLT","E",2010,6
"174","KLT","E",2011,5
"175","KLT","E",2012,5
"176","KLT","E",2013,5
"177","KLT","E",2015,5
"178","KLT","E",2016,5
"179","KLT","E",2017,5
"180","KLT","E",2018,5
"181","KLT","E",2021,5
"182","KLT","E",2022,5
"183","KLT","E",2023,5
"184","KLT","S",2007,5
"185","KLT","S",2008,6
"186","KLT","S",2009,6
"187","KLT","S",2010,5
"188","KLT","S",2011,5
"189","KLT","S",2012,5
"190","KLT","S",2013,5
"191","KLT","S",2015,5
"192","KLT","S",2016,5
"193","KLT","S",2017,5
"194","KLT","S",2018,5
"195","KLT","S",2021,5
"196","KLT","S",2022,5
"197","KLT","S",2023,5
"198","KLT","W",2007,4
"199","KLT","W",2008,6
"200","KLT","W",2009,6
"201","KLT","W",2010,5
"202","KLT","W",2011,5
"203","KLT","W",2012,5
"204","KLT","W",2013,5
